city,lat,lon,temp,humidity,clouds,windspeed,temp_max
tashtyp,52.79,89.9,-1.85,84,0,3.76,-1.85
suntar,62.14,117.63,-8.65,96,37,1.78,-8.65
rokytnice nad jizerou,50.73,15.43,5.49,76,30,2.14,8.89
labelle,26.76,-81.44,30.04,40,40,6.2,32.22
upernavik,72.79,-56.15,-27.95,56,0,3.62,-27.95
port lincoln,-34.73,135.87,21.25,36,69,5.27,21.25
dzerzhinskoye,56.83,95.23,-1.95,84,100,8.95,-1.95
ler,8.3,30.14,26.95,16,0,1.07,26.95
inhambane,-23.86,35.38,26.35,74,34,8.48,26.35
ilulissat,69.22,-51.1,-21.0,58,100,3.6,-21.0
camocim,-2.9,-40.84,24.35,94,100,2.29,24.35
tolaga bay,-38.37,178.3,17.05,78,100,16.58,17.05
touros,-5.2,-35.46,27.0,78,75,3.1,27.0
waingapu,-9.66,120.26,28.85,69,0,2.48,28.85
kimberley,-28.73,24.76,23.0,64,48,4.1,23.0
pinheiro machado,-31.58,-53.38,19.72,75,48,6.26,20.56
tahta,26.77,31.5,19.5,42,0,2.6,20.0
primorsk,46.73,36.34,3.75,47,0,3.38,3.75
dukat,62.55,155.55,-16.55,95,100,3.15,-16.55
eureka,40.8,-124.16,11.9,57,90,4.6,13.33
inirida,3.87,-67.92,33.45,48,60,0.4,33.45
ternate,0.8,127.4,22.15,94,45,1.58,22.15
thinadhoo,0.53,72.93,28.75,73,12,4.22,28.75
adrar,20.5,-10.07,21.65,15,69,4.63,21.65
khatanga,71.97,102.5,-34.45,97,16,3.49,-34.45
san cristobal,7.77,-72.22,31.0,52,40,5.7,31.0
barbacena,-21.23,-43.77,20.95,87,22,0.84,20.95
ancud,-41.87,-73.82,18.0,72,75,4.1,18.0
soldotna,60.49,-151.06,-1.64,58,1,2.6,0.56
medina del campo,41.31,-4.91,5.23,86,90,13.4,6.67
hargeysa,9.56,44.06,19.05,89,9,2.26,19.05
saint-augustin,51.23,-58.65,-9.25,76,0,5.57,-9.25
hithadhoo,-0.6,73.08,28.65,71,46,4.17,28.65
aswan,24.09,32.91,21.55,34,0,4.06,21.55
geraldton,-28.77,114.6,21.87,64,80,4.6,22.0
gao,16.64,1.64,30.55,9,100,5.21,30.55
yarada,17.65,83.27,25.0,88,20,1.0,25.0
cozumel,20.51,-86.95,28.59,62,75,6.2,29.0
